crdfd_customergroupid,createdon,createdby,createdbyname,statecode,statecodename,crdfd_name,crdfd_manhomkh,cr1bb_chinhanh,cr1bb_makh,crdfd_countkh2,crdfd_countkh2_date,crdfd_countkh2_state,crdfd_tinhthanh,crdfd_nganhnghe,crdfd_vip,crdfd_flag_check,crdfd_flag_checkname,crdfd_quanhuyen,cr3b9_nhombaogiachitiet,cr3b9_nhombaogiachitietname,cr3b9_loaibopromotion,cr3b9_loaibopromotionname
F65C84A2-BBA7-EF11-B8E9-000D3A07D0A8,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Krông Ana,NKH-011405,,,28,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
AB7F2BA1-BBA7-EF11-B8E8-000D3AA20744,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Huyện Tuy Đức,NKH-011396,,,2,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
AC7F2BA1-BBA7-EF11-B8E8-000D3AA20744,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Buôn Đôn,NKH-011418,,,58,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
B9B429A4-BBA7-EF11-B8E8-000D3AC6DC2D,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Lắk,NKH-011429,,,20,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
BAB429A4-BBA7-EF11-B8E8-000D3AC6DC2D,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Krông Bông,NKH-011428,,,19,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
84D5B7A3-BBA7-EF11-B8E8-000D3AC7A01B,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Cư M'gar,NKH-011402,,,38,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
85D5B7A3-BBA7-EF11-B8E8-000D3AC7A01B,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Huyện Đắk Glong,NKH-011403,,,18,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
50BB38A2-BBA7-EF11-B8E9-00224856EE7D,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Huyện Đắk Mil,NKH-011399,,,9,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
B2D7AEA0-BBA7-EF11-B8E9-00224859D934,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Huyện Krông Nô,NKH-011410,,,7,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
EBB455A0-BBA7-EF11-B8E8-0022485A284A,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Huyện Cư Jút,NKH-011408,,,12,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
ECB455A0-BBA7-EF11-B8E8-0022485A284A,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Ea Kar,NKH-011437,,,19,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
A903469F-BBA7-EF11-B8E8-6045BD1CF8CD,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Krông Búk,NKH-011444,,,26,2024-11-21T05:10:00.000Z,1,,,,,,,,,,
F45C84A2-BBA7-EF11-B8E9-000D3A07D0A8,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Tân Phú,NKH-011364,,,2,2024-11-21T05:10:27.000Z,1,,,,false,No,,,,,
FA625AA4-BBA7-EF11-B8E9-000D3AA09B3D,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Phù Mỹ,NKH-011388,,,161,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
D357B9A4-BBA7-EF11-B8E9-000D3AA17B83,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Mang Yang,NKH-011393,,,56,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
A97F2BA1-BBA7-EF11-B8E8-000D3AA20744,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Tây Sơn,NKH-011370,,,112,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
FBED5D9F-BBA7-EF11-B8E9-000D3AC91200,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,TP Kon Tum,NKH-011386,,,80,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
02EE5D9F-BBA7-EF11-B8E9-000D3AC91200,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Bình Sơn,NKH-011434,,,98,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
AFD7AEA0-BBA7-EF11-B8E9-00224859D934,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Hoài Ân,NKH-011377,,,84,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
9B03469F-BBA7-EF11-B8E8-6045BD1CF8CD,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,An Lão,NKH-011375,,,6,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
AE03469F-BBA7-EF11-B8E8-6045BD1CF8CD,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Krông Năng,NKH-011445,,,39,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
CE640DA0-BBA7-EF11-B8E9-6045BD1E504F,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Vân Canh,NKH-011407,,,32,2024-11-21T05:10:27.000Z,1,,,,,,,,,,
F55C84A2-BBA7-EF11-B8E9-000D3A07D0A8,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Đăk Tô,NKH-011365,,,12,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
A87F2BA1-BBA7-EF11-B8E8-000D3AA20744,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Đăk Glei,NKH-011368,,,8,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
AA7F2BA1-BBA7-EF11-B8E8-000D3AA20744,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Kon Rẫy,NKH-011369,,,8,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
FC6000A1-BBA7-EF11-B8E9-000D3AA306D5,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Ngọc Hồi,NKH-011384,,,21,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
00EE5D9F-BBA7-EF11-B8E9-000D3AC91200,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Thị xã Buôn Hồ,NKH-011414,,,53,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
4EBB38A2-BBA7-EF11-B8E9-00224856EE7D,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Kon Plông,NKH-011371,,,6,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
9D03469F-BBA7-EF11-B8E8-6045BD1CF8CD,2024-11-21T03:49:45.000Z,289BDE80-1C54-ED11-9562-000D3AC7CCEC,Nhân Cao Thành,1,Inactive,Sa Thầy,NKH-011378,,,10,2024-11-21T05:10:16.000Z,1,,,,,,,,,,
